time,CMP4
156,2017-01-25,0.6538102302071315
157,2017-01-27,0.639763779527559
158,2017-01-30,0.6400655916917191
159,2017-01-31,0.6469776428374274
160,2017-02-01,0.6491218411055443
161,2017-02-02,0.6496149614961496
162,2017-02-03,0.6498374028550956
163,2017-02-06,0.6484585371215035
164,2017-02-07,0.629198754710798
165,2017-02-08,0.6503309084942296
166,2017-02-10,0.6417926683346024
167,2017-02-15,0.6395317326974147
168,2017-02-20,0.6391752577319587
169,2017-02-21,0.6340228399051928
170,2017-02-22,0.6354948436909454
171,2017-02-23,0.6368013850565385
172,2017-02-24,0.6236164353976567
173,2017-02-27,0.6229366239108081
174,2017-02-28,0.627298291152931
175,2017-03-01,0.6253706399266806
176,2017-03-02,0.6231533709374161
177,2017-03-06,0.630918240354959
